announcement_id,asx_code,pdf_url,reason,timestamp
03079558,SND,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y627kj61nknw.pdf,missing fields: ['new_percent'],2026-04-07T15:42:44+11:00
03079553,NSR,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y61x1h4ccmcb.pdf,missing fields: ['date_of_change'],2026-04-07T15:43:02+11:00
03079487,BOE,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y5xdq9jsqw3k.pdf,missing fields: ['date_of_change'],2026-04-07T15:45:08+11:00
03079889,MHC,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y6wkr6xbt11c.pdf,"missing fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-04-07T15:57:39+11:00
03079558,SND,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y627kj61nknw.pdf,missing fields: ['new_percent'],2026-04-07T16:00:38+11:00
03079553,NSR,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y61x1h4ccmcb.pdf,missing fields: ['date_of_change'],2026-04-07T16:00:56+11:00
03079487,BOE,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y5xdq9jsqw3k.pdf,missing fields: ['date_of_change'],2026-04-07T16:02:51+11:00
03079889,MHC,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y6wkr6xbt11c.pdf,"missing fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-04-07T16:53:36+11:00
03080000,ZIP,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y74qj0qkch8r.pdf,missing fields: ['date_of_change'],2026-04-07T18:09:07+11:00
03079979,AZJ,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y7350y1h2mnz.pdf,missing fields: ['investment_manager'],2026-04-07T18:09:15+11:00
03079975,QAL,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y72w39r9q6z7.pdf,"missing fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-04-07T18:09:19+11:00
03080023,ACL,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y76p6rpkkvhl.pdf,missing fields: ['investment_manager'],2026-04-07T20:00:36+11:00
03080197,STK,https://announcements.asx.com.au/asxpdf/20260408/pdf/06y7sgm9klftq1.pdf,"missing fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-04-08T09:30:32+11:00
03080318,IVX,https://announcements.asx.com.au/asxpdf/20260408/pdf/06y82fxb22bgwf.pdf,missing fields: ['date_of_change'],2026-04-08T11:28:48+11:00
03080309,AR1,https://announcements.asx.com.au/asxpdf/20260408/pdf/06y81qst9xbmyp.pdf,"missing fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-04-08T11:28:54+11:00
03080408,EVE,https://announcements.asx.com.au/asxpdf/20260408/pdf/06y89wrd3vs9s0.pdf,"missing fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-04-08T14:30:35+11:00
03080442,SKS,https://announcements.asx.com.au/asxpdf/20260408/pdf/06y8dv6qr3n2vh.pdf,missing fields: ['date_of_change'],2026-04-08T16:16:50+11:00
03080441,SKS,https://announcements.asx.com.au/asxpdf/20260408/pdf/06y8drhlpltbx3.pdf,missing fields: ['date_of_change'],2026-04-08T16:16:56+11:00
03080436,KOA,https://announcements.asx.com.au/asxpdf/20260408/pdf/06y8d9zlbqm60r.pdf,"missing fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-04-08T16:16:59+11:00
03080411,ZIP,https://announcements.asx.com.au/asxpdf/20260408/pdf/06y8b4r8nfvzyt.pdf,missing fields: ['date_of_change'],2026-04-08T16:17:12+11:00
